Mar 20 2025     03:16:27 am     Elt: 173450 Seconds.  Real Time: 173658
ID: No spectrum identifier defined
Memory Size: 16384 Chls  Conversion Gain: 0512  Adc Offset: 0000 Chls

 Chn    Counts  ROI
   0,        3, 000
   1,        6, 000
   2,        7, 000
   3,       55, 000
   4,  4071388, 000
   5,  2731370, 000
   6,  1186340, 000
   7,   561361, 000
   8,   317190, 000
   9,   205320, 000
  10,   151611, 000
  11,   126987, 000
  12,   119228, 000
  13,   121277, 000
  14,   127263, 000
  15,   135199, 000
  16,   144221, 000
  17,   154529, 000
  18,   162452, 000
  19,   170293, 000
  20,   176645, 000
  21,   180801, 000
  22,   182915, 000
  23,   183434, 000
  24,   181667, 000
  25,   179728, 000
  26,   176074, 000
  27,   172444, 000
  28,   168229, 000
  29,   163723, 000
  30,   159423, 000
  31,   156890, 000
  32,   151475, 000
  33,   148454, 000
  34,   143967, 000
  35,   140193, 000
  36,   137771, 000
  37,   133468, 000
  38,   130428, 000
  39,   126375, 000
  40,   123589, 000
  41,   120125, 000
  42,   117219, 000
  43,   114119, 000
  44,   110620, 000
  45,   106965, 000
  46,   104619, 000
  47,   101706, 000
  48,    99414, 000
  49,    96707, 000
  50,    93824, 000
  51,    91570, 000
  52,    88810, 000
  53,    87177, 000
  54,    84179, 000
  55,    82335, 000
  56,    79936, 000
  57,    78024, 000
  58,    76302, 000
  59,    74466, 000
  60,    72642, 000
  61,    70580, 000
  62,    68699, 000
  63,    67631, 000
  64,    65632, 000
  65,    64552, 000
  66,    63105, 000
  67,    61454, 000
  68,    60348, 000
  69,    59195, 000
  70,    57844, 000
  71,    56388, 000
  72,    54848, 000
  73,    53597, 000
  74,    52781, 000
  75,    51754, 000
  76,    50304, 000
  77,    48503, 000
  78,    47786, 000
  79,    46769, 000
  80,    45346, 000
  81,    44327, 000
  82,    43250, 000
  83,    42087, 000
  84,    41249, 000
  85,    40247, 000
  86,    39619, 000
  87,    38794, 000
  88,    37913, 000
  89,    36902, 000
  90,    36840, 000
  91,    36013, 000
  92,    35461, 000
  93,    34866, 000
  94,    33976, 000
  95,    33741, 000
  96,    32637, 000
  97,    32448, 000
  98,    31647, 000
  99,    31395, 000
 100,    30929, 000
 101,    29993, 000
 102,    29929, 000
 103,    29301, 000
 104,    28829, 000
 105,    27875, 000
 106,    27691, 000
 107,    27635, 000
 108,    26995, 000
 109,    26170, 000
 110,    25809, 000
 111,    25125, 000
 112,    24411, 000
 113,    23937, 000
 114,    23278, 000
 115,    22857, 000
 116,    22176, 000
 117,    21335, 000
 118,    20854, 000
 119,    20044, 000
 120,    19506, 000
 121,    18790, 000
 122,    18256, 000
 123,    17806, 000
 124,    17462, 000
 125,    16864, 000
 126,    16237, 000
 127,    15707, 000
 128,    15480, 000
 129,    14967, 000
 130,    14552, 000
 131,    14395, 000
 132,    14180, 000
 133,    13970, 000
 134,    13604, 000
 135,    13569, 000
 136,    13642, 000
 137,    13445, 000
 138,    13540, 000
 139,    13289, 000
 140,    13434, 000
 141,    13558, 000
 142,    13763, 000
 143,    13820, 000
 144,    13967, 000
 145,    14351, 000
 146,    14439, 000
 147,    14692, 000
 148,    14858, 000
 149,    14984, 000
 150,    15046, 000
 151,    15283, 000
 152,    15360, 000
 153,    15537, 000
 154,    15659, 000
 155,    15619, 000
 156,    15670, 000
 157,    15713, 000
 158,    15530, 000
 159,    15491, 000
 160,    15276, 000
 161,    15114, 000
 162,    14931, 000
 163,    14630, 000
 164,    14561, 000
 165,    14311, 000
 166,    13915, 000
 167,    13824, 000
 168,    13593, 000
 169,    13148, 000
 170,    12822, 000
 171,    12497, 000
 172,    12236, 000
 173,    11787, 000
 174,    11671, 000
 175,    11430, 000
 176,    11206, 000
 177,    11168, 000
 178,    10934, 000
 179,    10544, 000
 180,    10711, 000
 181,    10330, 000
 182,    10347, 000
 183,     9954, 000
 184,    10029, 000
 185,     9568, 000
 186,     9586, 000
 187,     9521, 000
 188,     9525, 000
 189,     9460, 000
 190,     9385, 000
 191,     9067, 000
 192,     9255, 000
 193,     8756, 000
 194,     8685, 000
 195,     8668, 000
 196,     8462, 000
 197,     8288, 000
 198,     8122, 000
 199,     8130, 000
 200,     8039, 000
 201,     7879, 000
 202,     7763, 000
 203,     7569, 000
 204,     7414, 000
 205,     7443, 000
 206,     7171, 000
 207,     6975, 000
 208,     6853, 000
 209,     6752, 000
 210,     6664, 000
 211,     6401, 000
 212,     6335, 000
 213,     6285, 000
 214,     6174, 000
 215,     6065, 000
 216,     5908, 000
 217,     5862, 000
 218,     5823, 000
 219,     5620, 000
 220,     5628, 000
 221,     5461, 000
 222,     5392, 000
 223,     5392, 000
 224,     5159, 000
 225,     5122, 000
 226,     5187, 000
 227,     5172, 000
 228,     4862, 000
 229,     4959, 000
 230,     4894, 000
 231,     4919, 000
 232,     4840, 000
 233,     4860, 000
 234,     4741, 000
 235,     4835, 000
 236,     4818, 000
 237,     4858, 000
 238,     4894, 000
 239,     5015, 000
 240,     4923, 000
 241,     4778, 000
 242,     4629, 000
 243,     4765, 000
 244,     4803, 000
 245,     4895, 000
 246,     5008, 000
 247,     6415, 000
 248,     5430, 000
 249,     5983, 000
 250,     5651, 000
 251,     4723, 000
 252,     4322, 000
 253,     4299, 000
 254,     4199, 000
 255,     4230, 000
 256,     4040, 000
 257,     4107, 000
 258,     4025, 000
 259,     4108, 000
 260,     4022, 000
 261,     4032, 000
 262,     3923, 000
 263,     3977, 000
 264,     3840, 000
 265,     4022, 000
 266,     3885, 000
 267,     3972, 000
 268,     3894, 000
